company,accountnumber,orderreference,date,customerLocationGlobalId,clientName,customerLocationAddress,capacity,additionalInstructions,schedulingZoneName,vehiclerequirements,cost,sellingPrice,priority,task,charisma,originatingorderno
1000,COV017,1000-180322-50474-STD,21/03/2022,COV017 RG1 8LL,DAVID COVER&SON LTD (SOUTHAMPT),"JOHN GEORGE & SONS,100 CARDIFF ROAD,READING,RG1 8LL",25.39, ,R COLL, ,19.21,31.11,1,Collection,R COLL,180322
1000,XAND005,1000-195686-56930-STD,21/03/2022,XAND005RG40 5QY,NMBS(ANDERSON ROOFING SUP LTD),"UNIT 1 WARREN FARM,FOREST ROAD,WOKINGHAM,BERKSHIRE,,RG40 5QY",4, ,REA05, ,14.57,17.8,1,Collection,REA05,195686
1000,XBIC001,1000-237050-73026-STD,21/03/2022,XBIC001OX25 3QL,BICESTER ROOFING CO LTD,"MANOR FARM,WESTON ON THE GREEN,BICESTER,OXFORDSHIRE,,OX25 3QL",2, ,REA06, ,15.71,23.94,1,Collection,REA06,237050
1000,HUMM01,1000-276820-87403-1000,21/03/2022,HUMM01BH23 6BG,FENCE STORES LTD     (PARLEY),"CHAPEL LANE,PARLEY,CHRISTCHURCH,DORSET  (NR AIRPORT),,BH23 6BG",50.78, ,REA03, ,60.04,68.3,1,Collection,REA03,276820
1000,WILL04,1000-302813-99436-1000,21/03/2022,WILL04NW10 2DJ,WILLESDEN SUPPLIES UK LTD,"UNIT 19,SAPCOTE TRADING ESTATE,374 HIGH ROAD,WILLESDEN,,NW10 2DJ",1.62, ,REA05, ,54.22,90.8,1,Collection,REA05,302813
1000,HUMM01,1000-303075-98624-1000,21/03/2022,HUMM01BH23 6BG,FENCE STORES LTD     (PARLEY),"CHAPEL LANE,PARLEY,CHRISTCHURCH,DORSET  (NR AIRPORT),,BH23 6BG",11.98, ,REA03, ,24.33,27.55,1,Collection,REA03,303075
1000,GAUD03,1000-306338-110848-1000,21/03/2022,GAUD03 RG1 8LL,NMBS (RH GAUDION & SONS),"JOHN GEORGE & SONS,100 CARDIFF ROAD,READING,RG1 8LL",1.92,RH GAUDION & SONS  CAMP DU ROI  HARDWARE,R COLL, ,5.25,20.15,1,Collection,R COLL,306338
1000,COV020,1000-306646-99964-1000,21/03/2022,COV020 RG1 8LL,DAVID COVER&SON LTD (TRADE CT),"JOHN GEORGE & SONS,100 CARDIFF ROAD,READING,RG1 8LL",5.52, ,R COLL, ,16.22,32.76,1,Collection,R COLL,306646
1000,SYD001,1000-315749-106167-1000,21/03/2022,SYD001SP9 7NR,SYDENHAMS LTD (TIDWORTH),"22 STATION ROAD,TIDWORTH,WILTSHIRE,,,SP9 7NR",10.25, ,REA03, ,14.32,27.48,1,Collection,REA03,315749
1000,BUTT15,1000-324158-109552-1000,21/03/2022,BUTT15LU4 8QF,H BUTTERFIELD LTD (TIMBER),"SELBOURNE ROAD,LUTON,BEDFORDSHIRE,,,LU4 8QF",0.3, ,REA06, ,0.73,1.52,1,Collection,REA06,324158
1000,EQUE05,1000-338088-114991-1000,21/03/2022,EQUE05SO32 2JR,EQUESTRIAN FENCING & TMBER LTD,"HIGHRIDGE FARM,HOSPITAL ROAD,SHIRRELL HEATH,SOUTHAMPTON,,SO32 2JR",10, ,REA04, ,24.15,41.4,1,Collection,REA04,338088
1000,CHAN17,1000-339832-114991-1000,21/03/2022,CHAN17 RG1 8LL,CHANDLERS B.S. LTD (BOOKHAM),"JOHN GEORGE & SONS,100 CARDIFF ROAD,READING,RG1 8LL",2.4, ,R COLL, ,4.21,8.99,1,Collection,R COLL,339832
1000,COV006,1000-340033-122469-1000,21/03/2022,COV006PO12 4DW,DAVID COVER&SON LTD (GOSPORT),"GUNNERS WAY,GOSPORT,HANTS,,,PO12 4DW",3.81, ,REA04, ,7.21,28.1,1,Collection,REA04,340033
1000,COV006,1000-340037-122469-1000,21/03/2022,COV006PO12 4DW,DAVID COVER&SON LTD (GOSPORT),"GUNNERS WAY,GOSPORT,HANTS,,,PO12 4DW",3.81, ,REA04, ,7.2,28.1,1,Collection,REA04,340037
1000,ALLF01,1000-342532-122737-1000,21/03/2022,ALLF01BH12 5HB,ALLFIX LIMITED,"2 LEYLAND ROAD,WALLISDOWN,POOLE,DORSET,,BH12 5HB",0.1,**  GOODS INWARD AT REAR **,REA03, ,1.34,3.12,1,Collection,REA03,342532
1000,JAYC05,1000-346661-117831-1000,21/03/2022,JAYC05UB5 6LN,JAYCEE TOOLS & MACHINERY LTD,"521A YEADING LANE,NORTHOLT,MIDDLESEX,,,UB5 6LN",25.39,PLEASE DOUBLE CHECK,REA05, ,20.95,62.43,1,Collection,REA05,346661
1000,INLA01,1000-348840-118348-1000,21/03/2022,INLA01WD4 8NJ,CORNELLS LTD T/AS IPS FENCING,"65 TOMS LANE,KINGS LANGLEY,HERTS.,,,WD4 8NJ",10.3,APPROACH FROM BEDMANS SIDE TO AVOID BRID,REA06, ,14.2,25,1,Collection,REA06,348840
1000,SDTI02,1000-349010-118348-1000,21/03/2022,SDTI02HA3 8RR,NMBS   (S & D TIMBER),"285 KENTON LANE,KENTON,HARROW,,,HA3 8RR",18.6,** USE REAR ENTRANCE **,REA05, ,30,58.4,1,Collection,REA05,349010
1000,ELL010,1000-349483-118624-1000,21/03/2022,ELL010PO14 1EU,ELLIOTT BROS. LTD (FAREHAM),"NEW GATE LANE,FAREHAM,HANTS,,,PO14 1EU",1.07, ,REA04, ,2.64,3.98,1,Collection,REA04,349483
1000,INLA01,1000-350826-118895-1000,21/03/2022,INLA01WD4 8NJ,CORNELLS LTD T/AS IPS FENCING,"65 TOMS LANE,KINGS LANGLEY,HERTS.,,,WD4 8NJ",10.3,APPROACH FROM BEDMANS SIDE TO AVOID BRID,REA06, ,14.2,25,1,Collection,REA06,350826
1000,XBIC001,1000-350866-120817-1000,21/03/2022,XBIC001OX25 3QL,BICESTER ROOFING CO LTD,"MANOR FARM,WESTON ON THE GREEN,BICESTER,OXFORDSHIRE,,OX25 3QL",82.09, ,REA06, ,728.53,764.32,1,Collection,REA06,350866
1000,COV006,1000-354910-122469-1000,21/03/2022,COV006PO12 4DW,DAVID COVER&SON LTD (GOSPORT),"GUNNERS WAY,GOSPORT,HANTS,,,PO12 4DW",10.25, ,REA04, ,16.52,29.96,1,Collection,REA04,354910
1000,WOOD50,1000-355613-120817-1000,21/03/2022,WOOD50SP4 6NQ,WOODFORD FOREST LANDSCAPES LTD,"THE TIMBER YARD,LOWER WOODFORD,SALISBURY,WILTS,,SP4 6NQ",6.9, ,REA03, ,15.85,24.3,1,Collection,REA03,355613
