company,accountnumber,orderreference,date,customerLocationGlobalId,clientName,customerLocationAddress,capacity,additionalInstructions,schedulingZoneName,vehiclerequirements,cost,sellingPrice,priority,task,charisma,originatingorderno
1000,BARN15,1000-343985-123472-1000,22/03/2022,BARN15HA6 3HB,BARNES FENCING SUPPLIES LTD,"THE GARDEN CENTRE,SANDY LANE,NORTHWOOD,MIDDLESEX,,HA6 3HB",8.25, ,REA05, ,23.13,28.7,2,Delivery,REA05,343985
1000,PARK42,1000-358644-123447-1000,22/03/2022,PARK42BN14 8NL,PARKERS B.S LTD (WORTHING),"INDEPENDENT B.M GROUP LTD,1 SOUTHDOWN VIEW WAY,WORTHING,,,BN14 8NL",26.41, ,REA02, ,41.75,22.05,2,Delivery,REA02,358644
1000,RGHS01,1000-360373-123447-1000,22/03/2022,RGHS01RH12 3BQ,RGH SUPPLIES LTD,"PALLINGHURST FARM,GUILDFORD ROAD  (A281),RUDGWICK,WEST SUSSEX,,RH12 3BQ",311.86, ,REA02, ,411.91,373.2,3,Delivery,REA02,360373
1000,LAWS12,1000-360962-123447-1000,22/03/2022,LAWS12RH12 3AU,AVS FENCING SUPPLIES (RUDGWICK),"LAWSONS (WHETSTONE) LTD T/A,BROOKSIDE RURAL PARK,CHURCH STREET,RUDGWICK,WEST SUSSEX,RH12 3AU",20.79, ,REA02, ,26.95,53.86,3,Delivery,REA02,360962
1000,JOHN10,1000-361504-123447-1000,22/03/2022,JOHN10OX15 0SG,NMBS (JOHNSON  DEDDINGTON),"CHAPEL SQUARE,DEDDINGTON,NR BANBURY,OXON,,OX15 0SG",59.16, ,REA01, ,65.28,100.98,3,Delivery,REA01,361504
1000,XBIC001,1000-361687-123447-1000,22/03/2022,XBIC001OX25 3QL,BICESTER ROOFING CO LTD,"MANOR FARM,WESTON ON THE GREEN,BICESTER,OXFORDSHIRE,,OX25 3QL",36.95, ,REA01, ,198.99,142.24,2,Delivery,REA01,361687
1000,XBIC001,1000-361691-123447-1000,22/03/2022,XBIC001OX25 3QL,BICESTER ROOFING CO LTD,"MANOR FARM,WESTON ON THE GREEN,BICESTER,OXFORDSHIRE,,OX25 3QL",10.26, ,REA01, ,96.33,113.24,2,Delivery,REA01,361691
1000,XOSB001,1000-361888-123447-1000,22/03/2022,XOSB001MK16 9HG,S R OSBORN & SON LTD,"THE BUNGALOW,NORTH CRAWLEY ROAD,NEWPORT PAGNELL,BUCKINGHAMSHIRE,,MK16 9HG",171.48, ,REA06, ,240.81,172,2,Delivery,REA06,361888
1000,MORA32,1000-362006-123447-1000,22/03/2022,MORA32WD25 8FA,MP MORAN & SONS LTD (WATFORD),"1 MERCHANT WAY,WATFORD,HERTFORDSHIRE,,,WD25 8FA",10.25, ,REA05, ,14.83,31.24,3,Delivery,REA05,362006
1000,MORA32,1000-362014-123447-1000,22/03/2022,MORA32WD25 8FA,MP MORAN & SONS LTD (WATFORD),"1 MERCHANT WAY,WATFORD,HERTFORDSHIRE,,,WD25 8FA",101.56, ,REA05, ,97.52,64.16,3,Delivery,REA05,362014
1000,MORA30,1000-362282-123447-1000,22/03/2022,MORA30NW10 2JJ,MP MORAN & SONS LTD (WILLESDEN),"449-451 HIGH ROAD,WILLESDEN,LONDON,,,NW10 2JJ",12.36, ,REA05, ,17.19,48.58,2,Delivery,REA05,362282
1000,IDEA01,1000-362303-123447-1000,22/03/2022,IDEA01SL2 5JX,IDEAL HOMEWARE LTD,"6 MIRADOR CRECENT,SLOUGH,,,,SL2 5JX",117.96, ,REA05, ,351.88,77.52,3,Delivery,REA05,362303
1000,TOZE03,1000-362322-123447-1000,22/03/2022,TOZE03UB8 2RP,TOZERPLAN LTD (UXBRIDGE),"T/A EALING BOARDS & TIMBER,TOZERPLAN HOUSE,ARUNDEL ROAD,UXBRIDGE,,UB8 2RP",41.2, ,REA05, ,86.21,103.14,2,Delivery,REA05,362322
1000,COV004,1000-362352-123447-1000,22/03/2022,COV004PO19 8PE,DAVID COVER&SON LTD (HOME IDEAS),"SUSSEX HOUSE,QUARRY LANE,CHICHESTER,WEST SUSSEX,,PO19 8PE",27.22, ,REA02, ,71.62,4.45,2,Delivery,REA02,362352
1000,GIB035,1000-362359-123447-1000,22/03/2022,GIB035PO18 0NS,GIBBS & DANDY (CHICHESTER),"CHURCH FARM,WESTHAMPNETT,CHICHESTER,,,PO18 0NS",32.74, ,REA02, ,78.5,13.85,2,Delivery,REA02,362359
1000,COV004,1000-362360-123447-1000,22/03/2022,COV004PO19 8PE,DAVID COVER&SON LTD (HOME IDEAS),"SUSSEX HOUSE,QUARRY LANE,CHICHESTER,WEST SUSSEX,,PO19 8PE",22.21, ,REA02, ,66.04,3.95,2,Delivery,REA02,362360
1000,FLAI01,1000-362361-123447-1000,22/03/2022,FLAI01TW13 6DH,FLAIR WOODWORK LTD (FELTHAM),"UNIT 1,HANWORTH TRADING ESTATE,HAMPTON ROAD WEST,FELTHAM,,TW13 6DH",203.69, ,REA05, ,481.63,40.4,3,Delivery,REA05,362361
1000,BARL07,1000-362397-123447-1000,22/03/2022,BARL07RG18 9QL,NMBS (BARLOW & SONS HERMITAGE),"RED SHUTE INDUSTRIAL ESTATE,RED SHUTE HILL,HERMITAGE,NEWBURY,,RG18 9QL",118, ,REA01, ,147.26,70.25,2,Delivery,REA01,362397
1000,HAMP15,1000-362452-123530-1000,22/03/2022,HAMP15NW3 1DL,HAMPSTEAD HARDWARE LTD,"54 HEATH STREET,HAMPSTEAD,LONDON,,,NW3 1DL",73.4, ,X CAR, ,285.83,8.7,2,Delivery,X CAR,362452
1000,NDPL02,1000-362460-123475-1000,22/03/2022,NDPL02RG27 0PY,NDP FENCING CENTRE LTD,"BRICK HOUSE HILL,FLEET ROAD,EVERSLEY,HANTS,,RG27 0PY",103.6, ,REA02, ,139.6,66,2,Delivery,REA02,362460
1000,DOBS01,1000-362506-123473-1000,22/03/2022,DOBS01SL2 5AP,DOBSONS TIMBER & B.M.   (SHOP),"104-106 STOKE ROAD,SLOUGH,BERKS.,,,SL2 5AP",79,** DO NOT DROP GOODS FOR WAREHOUSE **,REA05, ,163.67,42,3,Delivery,REA05,362506
1000,ALS015,1000-362511-123466-1000,22/03/2022,ALS015BN14 7BW,ALSFORD TIMBER LTD (WORTHING),"KING STREET,WORTHING,WEST SUSSEX,,,BN14 7BW",91.43, ,REA02, ,203.1,43.57,3,Delivery,REA02,362511
1000,BOUN01,1000-362516-123474-1000,22/03/2022,BOUN01HA3 7HH,BOUNDARY FENCING CONTRACTORS,"2 COLLEGE HILL ROAD,HARROW WEALD,MIDDLESEX,,,HA3 7HH",342.29, ,REA05, ,568.36,171.84,3,Delivery,REA05,362516
1000,WEST21,1000-362517-123466-1000,22/03/2022,WEST21UB3 3NT,WESTERN TIMBER SOUTHALL,"UNIT 2,PUMP LANE,HAYES,MIDDLESEX,,UB3 3NT",304.01, ,REA05, ,558.1,77.5,3,Delivery,REA05,362517
1000,OXON01,1000-362528-123469-1000,22/03/2022,OXON01OX29 4AJ,NMBS (OXON FASTENINGS),"ACADEMIC HOUSE,OAKFIELD INDUSTRIAL ESTATE,STANTON HARCOURT ROAD,EYNSHAM  OXON,,OX29 4AJ",43.94, ,REA01, ,65.96,6.82,3,Delivery,REA01,362528
1000,SECU02,1000-362537-123474-1000,22/03/2022,SECU02SN2 8BB,SECURE IRONMONGERY SUPPLIESLTD,"SUPPLIES LTD,UNIT 1  ROCKHAVEN PARK,KEMBREY STREET,SWINDON  WILTSHIRE,,SN2 8BB",33.88, ,REA01, ,62.3,43.79,2,Delivery,REA01,362537
1000,COV020,1000-362541-123474-1000,22/03/2022,COV020PO19 8PA,DAVID COVER&SON LTD (TRADE CT),"HEAVYSIDE DEPT GATE 1,SPUR ROAD,QUARRY LANE,CHICHESTER,,PO19 8PA",236.13, ,REA02, ,610.77,20.6,3,Delivery,REA02,362541
1000,BARN15,1000-362544-123471-1000,22/03/2022,BARN15HA6 3HB,BARNES FENCING SUPPLIES LTD,"THE GARDEN CENTRE,SANDY LANE,NORTHWOOD,MIDDLESEX,,HA6 3HB",114.4, ,REA05, ,601.52,131.2,2,Delivery,REA05,362544
1000,SDTI02,1000-362555-123479-1000,22/03/2022,SDTI02HA3 8RR,NMBS   (S & D TIMBER),"285 KENTON LANE,KENTON,HARROW,,,HA3 8RR",423.71,** USE REAR ENTRANCE **,REA05, ,920.45,1.47,3,Delivery,REA05,362555
1000,WEBB10,1000-362593-123500-1000,22/03/2022,WEBB10SN7 7UA,NMBS (HJ WEBB & SON),"SOUTH DOWN FARM,FARINGDON ROAD,LONGCOT,OXON,,SN7 7UA",331.5,SIGN POSTED HJ WEBBS,REA01, ,942.48,11.9,3,Delivery,REA01,362593
1000,JAYC05,1000-362597-123485-1000,22/03/2022,JAYC05UB5 6LN,JAYCEE TOOLS & MACHINERY LTD,"521A YEADING LANE,NORTHOLT,MIDDLESEX,,,UB5 6LN",10.3,PLEASE DOUBLE CHECK,REA05, ,11.08,8.2,2,Delivery,REA05,362597
1000,SYD002,1000-362646-123498-1000,22/03/2022,SYD002OX14 5BZ,SYDENHAMS LTD (ABINGDON),"70-78 OCK STREET,ABINGDON,OXON,,,OX14 5BZ",106.07, ,REA01, ,301.98,32.23,2,Delivery,REA01,362646
1000,LAWS11,1000-362666-123503-1000,22/03/2022,LAWS11GU8 5HU,AVS FENCING SUPPLIES (MILFORD),"LAWSONS (WHETSTONE) LTD T/A,UNIT 1 AVS TRADING PARK,CHAPEL LANE,MILFORD  NR GODALMING,SURREY,GU8 5HU",94.14, ,REA02, ,216.77,45.08,3,Delivery,REA02,362666
1000,GIB030,1000-362696-123508-1000,22/03/2022,GIB030SG1 2BH,GIBBS & DANDY (STEVENAGE),"UNITS 23 & 24,GUNNELS WOOD PARK,STEVENAGE,,,SG1 2BH",40.68, ,REA06, ,87.92,26.35,2,Delivery,REA06,362696
1000,SECU02,1000-362698-123509-1000,22/03/2022,SECU02SN2 8BB,SECURE IRONMONGERY SUPPLIESLTD,"SUPPLIES LTD,UNIT 1  ROCKHAVEN PARK,KEMBREY STREET,SWINDON  WILTSHIRE,,SN2 8BB",4.8, ,REA01, ,8.4,9.6,2,Delivery,REA01,362698
1000,BBTI01,1000-362751-123521-1000,22/03/2022,BBTI01UB1 2LF,B&B TIMBER & BUILDERS MERCHANTS LTD,"6 NORTH PARADE,NORTH ROAD,SOUTHALL,MIDDLESEX,,UB1 2LF",156.16, ,REA05, ,419.33,41.79,3,Delivery,REA05,362751
1000,HARR25,1000-362753-123529-1000,22/03/2022,HARR25UB10 9NR,HARROW FENCING SUPPLIES LTD.,"STATION APPROACH,LONG LANE,HILLINGDON,MIDDLESEX,,UB10 9NR",145.12, ,REA05, ,276.61,30.54,2,Delivery,REA05,362753
1000,SYD002,1000-362762-123524-1000,22/03/2022,SYD002OX14 5BZ,SYDENHAMS LTD (ABINGDON),"70-78 OCK STREET,ABINGDON,OXON,,,OX14 5BZ",58.13, ,REA01, ,119.74,12.35,2,Delivery,REA01,362762
1000,BARL09,1000-362787-123525-1000,22/03/2022,BARL09OX29 8ET,NMBS (BARLOW & SONS WITNEY),"BLENHEIM PALACE,SAWMILLS COMBE,WITNEY,OXON,,OX29 8ET",31.37, ,REA01, ,53.31,77.56,2,Delivery,REA01,362787
1000,GIB022,1000-362825-123528-1000,22/03/2022,GIB022GU21 5LZ,GIBBS & DANDY (WOKING),"UNIT 6-8,MONUMENT WAY EAST,WOKING,SURREY,,GU21 5LZ",51.2, ,REA02, ,90,48.72,2,Delivery,REA02,362825
1000,BARL09,1000-362865-123534-1000,22/03/2022,BARL09OX29 8ET,NMBS (BARLOW & SONS WITNEY),"BLENHEIM PALACE,SAWMILLS COMBE,WITNEY,OXON,,OX29 8ET",43.94, ,REA01, ,65.96,10.79,3,Delivery,REA01,362865
1000,BARL07,1000-362920-123547-1000,22/03/2022,BARL07RG18 9QL,NMBS (BARLOW & SONS HERMITAGE),"RED SHUTE INDUSTRIAL ESTATE,RED SHUTE HILL,HERMITAGE,NEWBURY,,RG18 9QL",2.03, ,REA01, ,7.06,18.28,2,Delivery,REA01,362920
1000,BBTI01,1000-362926-123547-1000,22/03/2022,BBTI01UB1 2LF,B&B TIMBER & BUILDERS MERCHANTS LTD,"6 NORTH PARADE,NORTH ROAD,SOUTHALL,MIDDLESEX,,UB1 2LF",30.74, ,REA05, ,40.55,12.8,3,Delivery,REA05,362926
1001,ALS505,1001-356873-123465-1000,22/03/2022,ALS505BN23 6PD,ALSFORD TIMBER LTD (EASTBOURNE,"19-20 BIRCH ROAD,EASTBOURNE,EAST SUSSEX,,,BN23 6PD",115.78, ,BAS02, ,215.72,31.24,3,Delivery,BAS02,356873
1001,CRET51,1001-359825-123447-1000,22/03/2022,CRET51SS9 4PR,CRESCENT TIMBER YARD,"31 BELLHOUSE LANE,LEIGH ON SEA,ESSEX,,,SS9 4PR",3.75, ,BAS00, ,8.97,15.9,3,Delivery,BAS00,359825
1001,PHAR51,1001-360043-123510-1000,22/03/2022,PHAR51CM1 3AA,PHAROAH FENCING LTD,"9-13 RUSSELL WAY,WIDFORD INDUSTRIAL ESTATE,CHELMSFORD,ESSEX,,CM1 3AA",57.45, ,BAS08, ,66.08,426.15,3,Delivery,BAS08,360043
1001,HUW507,1001-360980-123447-1000,22/03/2022,HUW507CB10 2NQ,RIDGEONS               (BAY 1),"ASHDON ROAD,COMMERCIAL CENTRE,SAFFRON WALDEN,ESSEX,,CB10 2NQ",29.41, ,BAS05, ,64.9,30.64,3,Delivery,BAS05,360980
1001,HUW507,1001-360987-123447-1000,22/03/2022,HUW507CB10 2NQ,RIDGEONS               (BAY 1),"ASHDON ROAD,COMMERCIAL CENTRE,SAFFRON WALDEN,ESSEX,,CB10 2NQ",26.56, ,BAS05, ,51.36,145.76,3,Delivery,BAS05,360987
1001,MADM51,1001-361425-123447-1000,22/03/2022,MADM51CB23 7PH,MADINGLEY MULCH,"EAST ANGLIAN HAULAGE LTD T/A,MADINGLEY ROAD,COTON,CAMBRIDGE,CAMBRIDGESHIRE,CB23 7PH",81.26, ,BAS05, ,70.1,36.17,3,Delivery,BAS05,361425
1001,MADM51,1001-361425-123447-1001,22/03/2022,MADM51CB23 7PH,MADINGLEY MULCH,"EAST ANGLIAN HAULAGE LTD T/A,MADINGLEY ROAD,COTON,CAMBRIDGE,CAMBRIDGESHIRE,CB23 7PH",50, ,BAS05, ,27.43,25.79,3,Delivery,BAS05,361425
1001,CRAW01,1001-361476-123447-1000,22/03/2022,CRAW01RH11 0JY,CRAWLEY TIMBER LTD,"KILMARNOCK FARM,CHARLWOOD ROAD,CRAWLEY,,,RH11 0JY",614.58,Keep left when turning into the farm. Gr,BAS04, ,531.59,179.58,3,Delivery,BAS04,361476
1001,PUTB51,1001-361530-123447-1000,22/03/2022,PUTB51SW15 2SU,PUTNEY B.M. LTD (PUTNEY),"THE ARCHES,90-92 UPPER RICHMOND ROAD,PUTNEY,LONDON,,SW15 2SU",36, ,BAS04, ,73.12,129.44,2,Delivery,BAS04,361530
1001,GIB504,1001-361817-123447-1000,22/03/2022,GIB504PE19 8TS,GIBBS & DANDY PLC (ST. NEOTS),"11 VULCAN WAY,EATON  SOCON,ST NEOTS,CAMBS,,PE19 8TS",42.72, ,BAS05, ,108.47,8.83,2,Delivery,BAS05,361817
1001,MORA70,1001-361860-123447-1000,22/03/2022,MORA70SE11 4BT,MP MORAN & SONS LTD (KENNINGTON),"198-204 KENNINGTON PARK ROAD,LONDON,,,,SE11 4BT",78.08, ,BAS04, ,98.99,59.68,2,Delivery,BAS04,361860
1001,METT60,1001-361920-123448-1000,22/03/2022,METT60SW19 8UG,NMBS (METRO TIMBER LTD),"16 WEIR ROAD,WIMBLEDON,LONDON,GREATER LONDON,,SW19 8UG",53.84, ,BAS04, ,163.56,32.32,3,Delivery,BAS04,361920
1001,ACRE54,1001-361946-123447-1000,22/03/2022,ACRE54SW2 5TN,NMBS (ACRELANE TIMBER LTD),"53-55 ACRE LANE,LONDON,,,,SW2 5TN",17, ,BAS04, ,32.8,103.4,2,Delivery,BAS04,361946
1001,ALS510,1001-361952-123447-1000,22/03/2022,ALS510TN31 7HW,ALSFORD TIMBER LTD (RYE),"141 SOUTH UNDERCLIFF,RYE,EAST SUSSEX,,,TN31 7HW",87.32, ,BAS02, ,244.73,36.58,2,Delivery,BAS02,361952
1001,ALS510,1001-361956-123447-1000,22/03/2022,ALS510TN31 7HW,ALSFORD TIMBER LTD (RYE),"141 SOUTH UNDERCLIFF,RYE,EAST SUSSEX,,,TN31 7HW",104.53, ,BAS02, ,237.58,60.05,3,Delivery,BAS02,361956
1001,ALS510,1001-361978-123447-1000,22/03/2022,ALS510TN31 7HW,ALSFORD TIMBER LTD (RYE),"141 SOUTH UNDERCLIFF,RYE,EAST SUSSEX,,,TN31 7HW",35.3, ,BAS02, ,63.65,28.44,3,Delivery,BAS02,361978
1001,METT60,1001-362241-123447-1000,22/03/2022,METT60SW19 8UG,NMBS (METRO TIMBER LTD),"16 WEIR ROAD,WIMBLEDON,LONDON,GREATER LONDON,,SW19 8UG",82.26, ,BAS04, ,458.78,54.75,2,Delivery,BAS04,362241
1001,DAWS51,1001-362245-123447-1000,22/03/2022,DAWS51SS7 2TB,DAWS HEATH TIMBER LTD.,"200 DAWS HEATH ROAD,THUNDERSLEY,SOUTH BENFLEET,ESSEX,,SS7 2TB",225.06, ,BAS00, ,699.16,111,3,Delivery,BAS00,362245
1001,CRET51,1001-362291-123447-1000,22/03/2022,CRET51SS9 4PR,CRESCENT TIMBER YARD,"31 BELLHOUSE LANE,LEIGH ON SEA,ESSEX,,,SS9 4PR",8.6, ,BAS00, ,21.8,32.84,2,Delivery,BAS00,362291
1001,ALS502,1001-362305-123447-1000,22/03/2022,ALS502BR3 4BY,ALSFORD TIMBER LTD (BECKENHAM),"UNIT 5  TANNERY CLOSE,CROYDON ROAD IND EST,ELMERS END   BECKENHAM,KENT,,BR3 4BY",99.4, ,BAS04, ,190.97,31.3,3,Delivery,BAS04,362305
1001,VALB51,1001-362340-123447-1000,22/03/2022,VALB51IG10 3AA,VALLEY HILL BUILDERS MERCHANTS,"H S HUNDAL TA,2 VALLEY HILL,LOUGHTON,ESSEX,,IG10 3AA",87.28, ,BAS08, ,182.81,68.18,3,Delivery,BAS08,362340
1001,METT60,1001-362365-123447-1000,22/03/2022,METT60SW19 8UG,NMBS (METRO TIMBER LTD),"16 WEIR ROAD,WIMBLEDON,LONDON,GREATER LONDON,,SW19 8UG",25.65, ,BAS04, ,98.25,149.25,3,Delivery,BAS04,362365
1001,ORPI51,1001-362455-123477-1000,22/03/2022,ORPI51TN15 7HW,NMBS (G ORPIN & SON),"THE FORGE,ASH,NR SEVENOAKS,KENT,,TN15 7HW",137.67, ,BAS02, ,388.88,10.67,2,Delivery,BAS02,362455
1001,ANDR51,1001-362461-123477-1000,22/03/2022,ANDR51DA15 9NJ,ANDREWS TIMBER LTD,"387 BLACKFEN ROAD,SIDCUP,KENT,,,DA15 9NJ",79.78, ,BAS04, ,183.63,47.73,2,Delivery,BAS04,362461
1001,LITW51,1001-362474-123477-1000,22/03/2022,LITW51TN33 9LJ,LITTLEWOOD FENCING LTD,"NORTH TRADE ROAD,BATTLE,EAST SUSSEX,,,TN33 9LJ",255.72, ,BAS02, ,376.83,449,3,Delivery,BAS02,362474
1001,ALS505,1001-362498-123458-1000,22/03/2022,ALS505BN23 6PD,ALSFORD TIMBER LTD (EASTBOURNE,"19-20 BIRCH ROAD,EASTBOURNE,EAST SUSSEX,,,BN23 6PD",86.4, ,BAS02, ,165.17,44.12,2,Delivery,BAS02,362498
1001,ACRE54,1001-362523-123466-1000,22/03/2022,ACRE54SW2 5TN,NMBS (ACRELANE TIMBER LTD),"53-55 ACRE LANE,LONDON,,,,SW2 5TN",30, ,BAS04, ,61.6,111,2,Delivery,BAS04,362523
1001,CHAN75,1001-362580-123481-1000,22/03/2022,CHAN75BN41 1WA,CHANDLERS B.S. LTD (PORTSLADE),"INDEPENDENT BUILDING SUPPLIES LTD,ALDRINGTON BASIN,BASIN ROAD NORTH,PORTSLADE,EAST SUSSEX,BN41 1WA",186.4, ,BAS02, ,333.68,61.34,2,Delivery,BAS02,362580
1001,BREN65,1001-362628-123500-1000,22/03/2022,BREN65CM15 9JH,BRENTWOOD FENCING SUPPLIES LTD,"ONGAR ROAD,BRENTWOOD,ESSEX,,,CM15 9JH",27.2, ,BAS08, ,57.83,102.72,2,Delivery,BAS08,362628
1001,SMIF51,1001-362638-123499-1000,22/03/2022,SMIF51SM5 2DG,SMITH FENCING[LK&NJ SMITH T/A],"14 PLUMPTON WAY,OFF WRYTHE LANE,CARSHALTON,SURREY,,SM5 2DG",169.9, ,BAS04, ,272.8,124.4,2,Delivery,BAS04,362638
